epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,4.3919,4.2552,3.1069,0.34889,0.04472,0.02722,0.00892,3.1652,2.6511,1.7829,0.0033251,0.0033251,0.0033251
2,2.9485,2.6658,1.6695,0.3784,0.0672,0.05517,0.02368,2.541,2.2753,1.4064,0.0066453,0.0066453,0.0066453
3,2.5516,2.3224,1.4333,0.1985,0.09653,0.07049,0.03211,2.2731,1.9769,1.2848,0.0099522,0.0099522,0.0099522
4,2.3226,2.0997,1.3149,0.25147,0.12611,0.09634,0.04459,2.0933,1.7899,1.2188,0.0099406,0.0099406,0.0099406
5,2.1676,1.9104,1.2487,0.17582,0.1384,0.10935,0.05388,1.989,1.6951,1.1731,0.0099208,0.0099208,0.0099208
6,2.0689,1.7925,1.2089,0.19198,0.16389,0.12648,0.06081,1.9567,1.591,1.1468,0.009901,0.009901,0.009901
7,1.9852,1.6984,1.1839,0.19253,0.16549,0.12975,0.06322,1.9263,1.5698,1.1328,0.0098812,0.0098812,0.0098812
8,1.9331,1.6261,1.1619,0.23183,0.17886,0.14932,0.07465,1.8236,1.4553,1.1008,0.0098614,0.0098614,0.0098614
9,1.8949,1.5792,1.1534,0.2228,0.19273,0.15482,0.07849,1.7662,1.4112,1.0931,0.0098416,0.0098416,0.0098416
10,1.8603,1.5395,1.1334,0.23691,0.1977,0.16389,0.08422,1.7581,1.3954,1.0833,0.0098218,0.0098218,0.0098218
11,1.8226,1.4986,1.1275,0.25364,0.20358,0.17041,0.08847,1.7238,1.3608,1.0743,0.009802,0.009802,0.009802
12,1.7866,1.4594,1.1093,0.29281,0.21244,0.17707,0.09137,1.6822,1.3294,1.0656,0.0097822,0.0097822,0.0097822
13,1.77,1.4355,1.1085,0.25461,0.21872,0.18002,0.09351,1.6621,1.3014,1.0583,0.0097624,0.0097624,0.0097624
14,1.7539,1.4175,1.1047,0.29015,0.21683,0.19235,0.1008,1.6493,1.2777,1.055,0.0097426,0.0097426,0.0097426
15,1.7295,1.3902,1.096,0.2718,0.23397,0.19897,0.10391,1.6339,1.2743,1.0519,0.0097228,0.0097228,0.0097228
16,1.7117,1.3689,1.0918,0.2929,0.23128,0.20531,0.10792,1.6118,1.2526,1.042,0.009703,0.009703,0.009703
17,1.6958,1.3518,1.0837,0.30526,0.23715,0.20711,0.11002,1.5894,1.2411,1.0363,0.0096832,0.0096832,0.0096832
18,1.6748,1.3258,1.0777,0.29155,0.23436,0.20697,0.10984,1.5978,1.2343,1.0357,0.0096634,0.0096634,0.0096634
19,1.6691,1.3205,1.0738,0.29242,0.24919,0.21429,0.11439,1.5767,1.2264,1.0314,0.0096436,0.0096436,0.0096436
20,1.6483,1.299,1.071,0.30121,0.24425,0.21798,0.11589,1.5802,1.2067,1.0289,0.0096238,0.0096238,0.0096238
21,1.652,1.2962,1.0687,0.30479,0.25427,0.22866,0.12056,1.5479,1.1884,1.0206,0.009604,0.009604,0.009604
22,1.6315,1.2824,1.0654,0.32984,0.25087,0.2311,0.12417,1.5379,1.1726,1.0186,0.0095842,0.0095842,0.0095842
23,1.6263,1.2685,1.0595,0.32456,0.25856,0.23585,0.12586,1.5371,1.1777,1.0206,0.0095644,0.0095644,0.0095644
24,1.6083,1.2507,1.0546,0.33301,0.26237,0.23849,0.1276,1.5255,1.1604,1.0148,0.0095446,0.0095446,0.0095446
25,1.6053,1.2515,1.0559,0.33011,0.26277,0.23806,0.12815,1.5188,1.1562,1.0131,0.0095248,0.0095248,0.0095248
